u,i,weight,ts,label,idx
2,402,1,1289192400.0,1,1
10,271,8,1289192400.0,1,2
10,970,8,1289192400.0,1,3
113,54,4,1289192400.0,1,4
54,119,5,1289365200.0,1,5
119,2,8,1289365200.0,1,6
119,54,5,1289365200.0,1,7
119,271,8,1289365200.0,1,8
119,471,9,1289365200.0,1,9
168,74,1,1289451600.0,1,10
271,2,8,1289538000.0,1,11
271,54,7,1289538000.0,1,12
271,113,7,1289538000.0,1,13
271,119,8,1289538000.0,1,14
271,471,1,1289538000.0,1,15
37,474,1,1289624400.0,1,16
474,37,1,1289624400.0,1,17
37,113,5,1289710800.0,1,18
54,37,5,1289710800.0,1,19
113,37,2,1289710800.0,1,20
10,168,2,1289797200.0,1,21
168,10,2,1289797200.0,1,22
168,439,1,1289797200.0,1,23
10,99,2,1290056400.0,1,24
99,10,2,1290056400.0,1,25
37,1632,1,1290142800.0,1,26
1632,37,2,1290142800.0,1,27
1127,113,1,1290229200.0,1,28
10,2,8,1290488400.0,1,29
2,1127,1,1290661200.0,1,30
1127,2,1,1290661200.0,1,31
2,168,9,1290920400.0,1,34
2,10,3,1291006800.0,1,36
2,1632,2,1291006800.0,1,37
1632,2,3,1291006800.0,1,38
121,505,1,1291093200.0,1,40
505,121,1,1291093200.0,1,41
168,2,9,1291179600.0,1,42
471,2,3,1291266000.0,1,43
505,3603,1,1291438800.0,1,45
3603,505,1,1291438800.0,1,46
74,168,1,1291611600.0,1,51
99,238,1,1292043600.0,1,55
99,2473,1,1292043600.0,1,56
238,99,1,1292043600.0,1,57
2473,99,1,1292043600.0,1,59
119,121,2,1292216400.0,1,62
121,119,2,1292216400.0,1,63
37,3579,2,1292821200.0,1,70
3579,37,3,1292821200.0,1,71
3579,54,2,1292821200.0,1,72
2,710,2,1292907600.0,1,73
710,2,2,1292907600.0,1,74
37,380,4,1293512400.0,1,83
74,1127,1,1293598800.0,1,87
917,45,1,1293598800.0,1,88
1127,74,1,1293598800.0,1,89
3579,293,4,1293598800.0,1,91
2,512,1,1293685200.0,1,92
512,2,1,1293685200.0,1,93
23,512,1,1293771600.0,1,95
512,23,1,1293771600.0,1,98
45,917,1,1293858000.0,1,99
74,625,1,1293858000.0,1,100
625,74,1,1293858000.0,1,101
2,917,2,1294030800.0,1,102
917,2,2,1294030800.0,1,105
45,251,1,1294117200.0,1,106
439,625,3,1294117200.0,1,107
625,439,3,1294117200.0,1,108
712,744,3,1294549200.0,1,116
744,712,1,1294549200.0,1,119
744,249,1,1294722000.0,1,122
249,744,3,1294808400.0,1,123
402,1115,2,1294894800.0,1,124
625,1469,4,1294894800.0,1,126
1115,402,2,1294894800.0,1,127
1469,625,1,1294894800.0,1,128
402,744,1,1294981200.0,1,129
744,402,1,1294981200.0,1,130
2,436,1,1295154000.0,1,131
436,2,1,1295154000.0,1,132
768,436,1,1295154000.0,1,133
768,23,2,1295326800.0,1,134
380,37,4,1295499600.0,1,138
23,1087,1,1295586000.0,1,139
1087,23,1,1295586000.0,1,140
917,1115,1,1295672400.0,1,141
1115,917,1,1295672400.0,1,142
45,389,2,1296018000.0,1,149
389,45,2,1296018000.0,1,151
23,389,4,1296104400.0,1,153
389,23,4,1296104400.0,1,154
389,126,2,1296104400.0,1,155
389,293,1,1296104400.0,1,156
113,769,2,1296277200.0,1,160
113,1127,1,1296277200.0,1,161
768,2,3,1296450000.0,1,164
23,710,2,1296536400.0,1,166
44,1087,1,1296536400.0,1,167
74,1087,1,1296536400.0,1,168
126,293,3,1296536400.0,1,169
1087,44,1,1296536400.0,1,170
1087,74,1,1296536400.0,1,171
2,54,8,1296622800.0,1,172
2,74,6,1296622800.0,1,173
2,1209,2,1296622800.0,1,174
1209,2,2,1296622800.0,1,175
293,2,3,1296709200.0,1,177
293,74,1,1296709200.0,1,178
293,113,3,1296709200.0,1,180
293,126,3,1296709200.0,1,181
293,389,1,1296709200.0,1,182
293,402,1,1296709200.0,1,183
293,439,3,1296709200.0,1,184
293,3579,3,1296709200.0,1,185
54,148,2,1297054800.0,1,196
121,512,2,1297054800.0,1,197
148,54,2,1297054800.0,1,198
512,121,2,1297054800.0,1,199
148,439,1,1297141200.0,1,200
249,402,4,1297141200.0,1,201
439,148,1,1297141200.0,1,204
148,270,1,1297227600.0,1,205
148,768,1,1297227600.0,1,206
270,148,1,1297227600.0,1,207
446,2,1,1297227600.0,1,208
768,148,1,1297227600.0,1,209
45,768,1,1297314000.0,1,212
402,249,3,1297314000.0,1,213
446,768,1,1297314000.0,1,214
768,45,1,1297314000.0,1,215
768,446,1,1297314000.0,1,216
23,768,2,1297400400.0,1,221
148,119,5,1297486800.0,1,222
148,1409,1,1297486800.0,1,223
512,148,3,1297486800.0,1,227
1409,148,1,1297486800.0,1,228
2,379,1,1297573200.0,1,229
54,466,1,1297573200.0,1,230
148,466,1,1297573200.0,1,231
223,379,1,1297573200.0,1,232
379,2,1,1297573200.0,1,233
379,223,1,1297573200.0,1,234
379,466,1,1297573200.0,1,235
379,1209,2,1297573200.0,1,236
466,54,1,1297573200.0,1,237
466,148,1,1297573200.0,1,238
466,379,1,1297573200.0,1,239
109,148,1,1297659600.0,1,240
148,109,1,1297659600.0,1,241
270,379,1,1297659600.0,1,242
379,270,1,1297659600.0,1,243
1401,148,1,1297659600.0,1,244
2,2698,1,1297746000.0,1,245
23,1919,1,1297746000.0,1,246
119,148,2,1297746000.0,1,249
460,54,1,1297746000.0,1,250
2698,2,1,1297746000.0,1,252
44,711,2,1297832400.0,1,254
54,379,1,1297832400.0,1,255
109,379,1,1297832400.0,1,256
148,840,4,1297832400.0,1,259
148,1401,1,1297832400.0,1,260
148,3506,1,1297832400.0,1,261
152,1628,1,1297832400.0,1,262
379,54,1,1297832400.0,1,263
379,109,1,1297832400.0,1,264
379,1230,1,1297832400.0,1,265
512,152,1,1297832400.0,1,266
840,148,4,1297832400.0,1,267
1230,379,1,1297832400.0,1,268
1628,152,1,1297832400.0,1,269
3506,1401,1,1297832400.0,1,271
148,152,1,1297918800.0,1,274
152,148,1,1297918800.0,1,275
2,446,2,1298005200.0,1,278
2,769,2,1298005200.0,1,279
711,44,2,1298005200.0,1,283
769,2,2,1298005200.0,1,284
119,769,1,1298091600.0,1,287
148,512,3,1298091600.0,1,288
152,769,1,1298091600.0,1,289
460,512,1,1298091600.0,1,290
460,769,1,1298091600.0,1,291
512,460,1,1298091600.0,1,292
769,119,1,1298091600.0,1,293
769,152,1,1298091600.0,1,294
769,460,1,1298091600.0,1,295
44,148,1,1298178000.0,1,297
148,44,1,1298178000.0,1,298
54,152,1,1298264400.0,1,302
148,1600,2,1298264400.0,1,303
152,54,1,1298264400.0,1,304
1600,148,2,1298264400.0,1,306
223,251,1,1298350800.0,1,307
251,223,1,1298350800.0,1,308
54,531,1,1298437200.0,1,310
531,54,1,1298437200.0,1,311
531,3506,1,1298437200.0,1,312
3506,531,1,1298437200.0,1,313
379,44,1,1298523600.0,1,316
23,44,2,1298610000.0,1,317
23,2438,1,1298610000.0,1,318
45,531,1,1298610000.0,1,320
148,1913,2,1298610000.0,1,323
531,45,1,1298610000.0,1,325
531,840,2,1298610000.0,1,327
840,531,2,1298610000.0,1,328
1913,148,2,1298610000.0,1,329
2438,23,1,1298610000.0,1,330
109,1270,1,1298696400.0,1,332
297,1212,3,1298696400.0,1,333
1270,109,1,1298696400.0,1,334
1270,1921,1,1298696400.0,1,335
1921,1270,1,1298696400.0,1,336
108,109,1,1298782800.0,1,337
109,108,1,1298782800.0,1,338
152,626,1,1298782800.0,1,339
626,152,1,1298782800.0,1,340
1401,2,2,1298782800.0,1,341
23,1226,2,1298869200.0,1,345
54,840,1,1298869200.0,1,346
109,223,1,1298869200.0,1,347
223,109,1,1298869200.0,1,348
531,774,1,1298869200.0,1,349
774,531,1,1298869200.0,1,350
840,54,1,1298869200.0,1,351
1226,23,2,1298869200.0,1,353
109,1099,1,1298955600.0,1,354
148,1099,1,1298955600.0,1,359
1099,109,1,1298955600.0,1,361
1099,148,1,1298955600.0,1,363
45,466,1,1299042000.0,1,366
466,45,1,1299042000.0,1,369
1212,297,1,1299128400.0,1,374
44,1076,2,1299214800.0,1,377
512,109,3,1299214800.0,1,378
1076,44,2,1299214800.0,1,379
44,379,2,1299387600.0,1,382
44,1131,1,1299387600.0,1,383
1131,44,1,1299387600.0,1,385
54,2,8,1299474000.0,1,388
23,108,2,1299560400.0,1,394
23,1398,1,1299646800.0,1,397
23,1601,1,1299646800.0,1,398
108,1601,1,1299646800.0,1,399
1398,23,1,1299646800.0,1,400
1601,23,1,1299646800.0,1,401
1601,108,1,1299646800.0,1,402
23,99,2,1299733200.0,1,404
23,1131,4,1299733200.0,1,405
99,23,2,1299733200.0,1,406
23,84,1,1299906000.0,1,410
84,148,1,1299992400.0,1,415
148,84,2,1299992400.0,1,416
16,768,1,1300161600.0,1,421
23,2441,1,1300161600.0,1,422
466,23,1,1300161600.0,1,423
466,654,1,1300161600.0,1,424
606,1601,1,1300161600.0,1,425
654,466,1,1300161600.0,1,426
768,16,1,1300161600.0,1,427
1601,606,1,1300161600.0,1,428
23,1401,3,1300248000.0,1,429
419,606,1,1300248000.0,1,430
606,419,1,1300248000.0,1,432
1401,23,3,1300248000.0,1,435
23,153,3,1300334400.0,1,437
23,466,1,1300420800.0,1,439
223,466,2,1300420800.0,1,440
466,223,2,1300420800.0,1,441
152,153,1,1300593600.0,1,443
10,468,1,1300766400.0,1,447
16,1910,1,1300766400.0,1,448
44,152,1,1300766400.0,1,449
152,44,1,1300766400.0,1,450
468,10,1,1300766400.0,1,452
710,23,2,1300766400.0,1,453
1910,16,1,1300766400.0,1,454
16,842,1,1300852800.0,1,455
23,842,4,1300852800.0,1,456
23,1911,2,1300852800.0,1,457
44,23,3,1300852800.0,1,458
234,1910,1,1300852800.0,1,460
270,436,1,1300852800.0,1,461
436,270,1,1300852800.0,1,463
842,16,1,1300852800.0,1,465
842,23,4,1300852800.0,1,466
842,99,1,1300852800.0,1,467
842,148,1,1300852800.0,1,468
842,153,1,1300852800.0,1,469
1911,23,2,1300852800.0,1,470
63,223,1,1300939200.0,1,473
99,842,1,1300939200.0,1,474
223,63,1,1300939200.0,1,476
223,711,1,1300939200.0,1,477
711,223,2,1300939200.0,1,478
298,1210,1,1301025600.0,1,482
711,16,1,1301025600.0,1,483
1077,389,1,1301025600.0,1,484
1210,298,1,1301025600.0,1,485
23,908,2,1301112000.0,1,486
23,1080,1,1301112000.0,1,487
99,562,2,1301112000.0,1,488
153,842,1,1301112000.0,1,489
908,23,2,1301112000.0,1,490
1080,23,1,1301112000.0,1,491
353,379,1,1301198400.0,1,492
353,1212,1,1301198400.0,1,493
1212,353,1,1301198400.0,1,494
1212,2444,1,1301198400.0,1,495
2,148,1,1301284800.0,1,496
2,469,7,1301284800.0,1,497
2,986,1,1301284800.0,1,498
2,1603,1,1301284800.0,1,499
16,1212,1,1301284800.0,1,500
23,2,7,1301284800.0,1,501
23,500,4,1301284800.0,1,503
99,2,4,1301284800.0,1,505
99,353,1,1301284800.0,1,506
353,99,1,1301284800.0,1,507
986,2,1,1301284800.0,1,508
1212,16,1,1301284800.0,1,509
1603,2,1,1301284800.0,1,510
1603,153,1,1301284800.0,1,511
23,298,2,1301371200.0,1,512
1603,297,1,1301371200.0,1,514
23,138,1,1301457600.0,1,515
23,1402,1,1301457600.0,1,516
1402,23,1,1301457600.0,1,518
2,44,1,1301544000.0,1,520
44,2,2,1301544000.0,1,522
250,2,8,1301544000.0,1,524
419,1214,1,1301544000.0,1,525
1214,419,1,1301544000.0,1,526
23,1400,3,1301630400.0,1,529
419,987,1,1301630400.0,1,530
987,419,1,1301630400.0,1,531
