u,i,weight,ts,label,idx
4,3,7,1289245277.36975,1,4
7,5,1,1289362700.47913,1,7
2,17,5,1289370556.80938,1,8
2,16,5,1289370622.21473,1,9
17,2,5,1289380981.52787,1,10
17,10,8,1289441438.4426,1,12
17,8,9,1289441450.59006,1,13
17,3,7,1289441525.73831,1,14
14,3,5,1289442313.03711,1,15
14,18,1,1289489668.48486,1,16
10,17,8,1289555745.64663,1,19
10,8,1,1289555767.7095,1,20
10,19,10,1289555841.66508,1,21
10,2,7,1289555871.04233,1,22
10,3,7,1289555875.70958,1,23
4,20,1,1289641693.99029,1,24
20,4,1,1289641703.57785,1,25
5,7,1,1289660347.43795,1,28
2,4,5,1289771303.53929,1,32
14,21,1,1289836081.52099,1,33
14,16,2,1290108486.68868,1,38
4,23,1,1290197549.13082,1,39
23,4,2,1290197554.48422,1,40
7,26,1,1290644457.56157,1,43
26,7,1,1290644477.40213,1,44
28,29,1,1291157823.29216,1,58
29,28,1,1291159845.12556,1,59
7,22,2,1291376109.62385,1,63
29,32,1,1291515528.23159,1,65
32,29,1,1291515697.49227,1,66
30,33,1,1291578872.19781,1,67
30,7,3,1291590274.45619,1,68
30,32,1,1291591178.25959,1,69
32,30,1,1291591211.84395,1,70
18,14,1,1291623781.12772,1,71
18,15,1,1291623787.90955,1,72
28,34,1,1291684579.71178,1,73
34,28,1,1291684612.11599,1,74
22,36,1,1292070534.03952,1,78
36,22,1,1292071378.89261,1,79
22,37,1,1292085236.69986,1,80
37,22,1,1292085280.0736,1,81
33,30,2,1292099160.9751,1,82
33,38,2,1292189306.47485,1,83
38,33,2,1292189412.5311,1,84
33,39,2,1292193828.31273,1,85
39,33,2,1292195062.40986,1,86
7,3,6,1292200462.1576,1,89
28,17,2,1292297572.76433,1,92
17,28,2,1292297608.09604,1,93
7,28,3,1292361185.86524,1,94
28,7,4,1292361298.90511,1,95
7,38,4,1292442401.75654,1,96
38,7,4,1292442432.71184,1,97
7,40,1,1292447857.20632,1,98
40,7,1,1292490376.23637,1,99
22,7,2,1292716197.42619,1,100
30,17,2,1292819158.23834,1,102
17,30,2,1292819328.73322,1,103
4,44,2,1292823618.44624,1,104
44,4,3,1292823672.32603,1,105
44,16,8,1292823684.25402,1,106
44,2,2,1292823727.667,1,107
27,47,1,1292920838.87248,1,108
47,27,2,1292935948.10307,1,109
4,48,2,1293050723.00352,1,112
48,4,2,1293054742.65514,1,113
17,7,5,1293191604.74618,1,114
7,16,4,1293409870.96218,1,115
27,50,1,1293448472.81444,1,116
27,51,1,1293448479.2438,1,117
30,50,2,1293453341.91475,1,118
50,30,2,1293453456.20721,1,119
50,27,2,1293453463.2234,1,120
7,21,2,1293481688.78585,1,123
21,7,1,1293482234.62328,1,124
4,53,4,1293523499.48644,1,125
49,46,1,1293603105.36008,1,129
56,7,1,1293604543.59049,1,130
7,56,1,1293604590.1113,1,131
7,15,5,1293632316.69358,1,132
24,18,1,1293643257.60649,1,133
18,24,1,1293646340.181,1,134
18,16,1,1293661055.82282,1,135
44,57,4,1293665840.7407,1,136
58,43,1,1293831460.95955,1,141
43,58,1,1293831479.76095,1,142
18,50,1,1293888120.91641,1,144
50,18,1,1293888137.47196,1,145
46,49,1,1293930357.98644,1,146
27,59,1,1293994479.85825,1,147
59,27,1,1293996991.46985,1,148
50,21,3,1294126590.415,1,153
21,50,3,1294152392.91925,1,154
46,60,1,1294190542.60702,1,155
14,61,1,1294192094.04763,1,156
61,14,1,1294192614.67232,1,157
4,64,1,1294300030.22996,1,166
64,4,1,1294300186.31404,1,167
61,50,2,1294395970.3296,1,168
50,61,2,1294396076.49534,1,169
43,64,1,1294429932.32732,1,172
64,43,1,1294429999.78412,1,173
7,66,2,1294438542.46541,1,174
66,7,2,1294439193.84082,1,175
46,68,1,1294546375.24239,1,176
68,46,1,1294599138.54006,1,178
51,69,1,1294600321.90078,1,179
69,51,3,1294600354.23511,1,180
